Federal School ID,Entity Type,Street Address,Year Round Yes/No,Public Yes/No,Administrator Name,Administrator Phone,Administrator Phone Ext.,Administrator Email,Virtual Instruction Type,School,Street City
10546,K-12 Schools (Public),"39899 Balentine Dr., Ste. 335",N,Y,Naeem Malik,No Data,No Data,malik@famecharter.org,Partially Virtual,FAME Public Charter,Newark
10947,K-12 Schools (Public),1515 Webster St.,N,Y,Elizabeth Raji-Greg,(510) 451-2415,No Data,compliance@envisionschools.org,Not Virtual,Envision Academy for Arts & Technology,Oakland
12283,High Schools (Public),2125 Jefferson Ave.,N,Y,Javier Cabra,No Data,No Data,delphine.sherman@aspirepublicschools.org,Not Virtual,Aspire California College Preparatory Academy,Berkeley
12844,Elementary Schools (Public),2111 International Blvd.,N,Y,Phillip Gedeon,(510) 994-6309,No Data,phillipg@communityschoolforcreativeeducation.org,Not Virtual,Community School for Creative Education,Oakland
12901,Elementary Schools (Public),2501 Chestnut St.,N,Y,Celia Pascual,(510) 452-2069,No Data,cpascual@yumingschool.org,Not Virtual,Yu Ming Charter,Oakland
13008,Elementary Schools (Public),4551 Steele St.,N,Y,Krishna Feeney,(510) 842-1184,No Data,krishnaf@urbanmontessori.org,Not Virtual,Urban Montessori Charter,Oakland
13772,Intermediate/Middle Schools (Public),1045 Derby Ave.,N,Y,Larissa Adam,(510) 689-2035,No Data,cbo@efcps.net,Not Virtual,Epic Charter,Oakland
No Data,County Community,597 C St.,N,Y,No Data,No Data,No Data,No Data,No Data,"Technical, Agricultural & Nat.",Hayward
09264,Juvenile Court Schools,2500 Fairmont Ave.,N,Y,Earl Crawford,(510) 670-7696,7696,ecrawford@acoe.org,Not Virtual,Alameda County Juvenile Hall/Court,San Leandro
06830,County Community,313 West Winton Ave.,N,Y,Jenaver Goodman,(510) 670-7683,7683,jgoodman@acoe.org,Primarily Classroom,Alameda County Community,Hayward
09265,Opportunity Schools,313 West Winton Ave.,N,Y,Carolyn Hobbs,No Data,No Data,chobbs@acoe.org,No Data,Alameda County Opportunity,Hayward
08674,High Schools (Public),6221 East 17th St.,N,Y,Daniel Zarazua,(510) 285-6290,No Data,dzarazua@alternativesinaction.org,Not Virtual,Alternatives in Action,Oakland
No Data,High Schools (Public),No Data,N,Y,No Data,No Data,No Data,No Data,No Data,Berkeley Trade & Tech. College,No Data
13887,Intermediate/Middle Schools (Public),1180 70th Ave.,Y,Y,Sau-Lim (Lance) Tsang,(510) 427-2736,No Data,stsang@unityhigh.org,Not Virtual,Oakland Unity Middle,Oakland
No Data,Adult Education Centers,No Data,N,Y,No Data,No Data,No Data,No Data,No Data,Canyon Valley Adult School,No Data
14091,K-12 Schools (Public),703 C St.,N,Y,Jerri Levers,(209) 874-1119,6,jlevers@cwcharter.org,Not Virtual,Connecting Waters Charter - East Bay,Union City
14090,County Community,313 West Winton Ave.,N,Y,Tracey Burns,(510) 670-4157,No Data,tburns@acoe.org,Primarily Classroom,Opportunity Academy,Hayward
No Data,High Schools (Public),No Data,N,Y,No Data,No Data,No Data,No Data,No Data,Roosevelt High (Defunct),No Data
14335,Junior High Schools (Public),1034 66th Ave.,N,Y,Emanuel Vincent,(510) 333-4496,4496,emanuel.vincent@aurumprep.org,Not Virtual,Aurum Preparatory Academy,Oakland
No Data,High Schools (Public),No Data,N,Y,No Data,No Data,No Data,No Data,No Data,University High School (Defunc,No Data
No Data,Adult Education Centers,No Data,N,Y,No Data,No Data,No Data,No Data,No Data,Washington Evening High (Defun,No Data
14443,Elementary Schools (Public),166 West Harder Rd.,N,Y,Quincy Long,(510) 955-7083,No Data,quincy.long@navigatorschools.org,Not Virtual,Hayward Collegiate Charter,Hayward
04257,Elementary Schools (Public),9860 Sunnyside St.,N,Y,Larissa Adam,No Data,No Data,ladam@efcps.net,Not Virtual,Cox Academy,Oakland
04288,Elementary Schools (Public),824 29th Ave.,N,Y,Kaitlin Friedman,No Data,No Data,cdelazear@efcps.net,Not Virtual,Lazear Charter Academy,Oakland
No Data,County Community,2500 Fairmont Dr.,N,Y,No Data,No Data,No Data,No Data,No Data,Chabot Ranch,San Leandro
No Data,Juvenile Court Schools,2400 Fairmont Dr.,N,Y,No Data,No Data,No Data,No Data,No Data,Juvenile Court Schools,San Leandro
No Data,County Community,2200 Fairmont Dr.,N,Y,No Data,No Data,No Data,No Data,No Data,Las Vistas School,San Leandro
No Data,County Community,2600 Fairmont Dr.,N,Y,No Data,No Data,No Data,No Data,No Data,Senior Camp,San Leandro
No Data,County Community,2100 Fairmont Dr.,N,Y,No Data,No Data,No Data,No Data,No Data,Snedigar Cottage,San Leandro
No Data,Special Education Schools (Public),35725 Cedar Ave.,N,Y,No Data,No Data,No Data,No Data,No Data,Koster/Whiteford Special Center,Newark
No Data,County Community,685 A St.,N,Y,No Data,No Data,No Data,No Data,No Data,Whiteford School (TMR),Hayward
No Data,Special Education Schools (Public),685 A St.,N,Y,No Data,No Data,No Data,No Data,No Data,Alameda County Special Education,Hayward
No Data,County Community,2200 Fairmont Dr.,N,Y,No Data,No Data,No Data,No Data,No Data,Buena Vista School (Girls),San Leandro
No Data,County Community,35725 Cedar Blvd.,N,Y,No Data,No Data,No Data,No Data,No Data,Whiteford (June) School,Newark
No Data,County Community,8151 Village Pkwy.,N,Y,No Data,No Data,No Data,No Data,No Data,School for School-Age Mothers,Dublin
No Data,Special Education Schools (Public),685 A St.,N,Y,No Data,No Data,No Data,No Data,No Data,Sequoia Deaf/Blind Program,Hayward
No Data,Special Education Schools (Public),612 West A St.,N,Y,No Data,No Data,No Data,No Data,No Data,Burke (William P.) Special Center,Hayward
No Data,Special Education Schools (Public),7997 Vomac Rd.,N,Y,No Data,No Data,No Data,No Data,No Data,East County Dch,Dublin
